timestamp,elapsedtime
2018-05-30 09:36:13," 2074
"
2018-05-30 09:36:21," 526
"
2018-05-30 09:36:29," 4959
"
2018-05-30 09:36:37," 153
"
2018-05-30 09:36:45," 343
"
2018-05-30 09:36:53," 118
"
2018-05-30 09:37:01," 282
"
2018-05-30 09:37:09," 98
"
2018-05-30 09:37:17," 110
"
2018-05-30 09:37:25," 2717
"
